ACARA ID,School Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent School ID,AGE ID,Latitude,Longitude,StateProvinceID
41570,Strathfield South High School,Enfield,NSW,2136,Secondary,Gov,Open,Major Cities,41570,47781,-33.8854,151.071,000008252
42107,Swansea High School,Caves Beach,NSW,2281,Secondary,Gov,Open,Major Cities,42107,46492,-33.1042,151.64,000008389
41149,Sydney Boys High School,Moore Park,NSW,2021,Secondary,Gov,Open,Major Cities,41149,45328,-33.8922,151.219,000008137
41186,Sydney Distance Education High School,Woolloomooloo,NSW,2011,Secondary,Gov,Open,Major Cities,41186,56692,-33.8711,151.221,000008587
41150,Sydney Girls High School,Surry Hills,NSW,2010,Secondary,Gov,Open,Major Cities,41150,45329,-33.8942,151.22,000008138
41176,Sydney Secondary College Balmain Campus,Rozelle,NSW,2039,Secondary,Gov,Open,Major Cities,41176,46493,-33.8585,151.17,000008484
40441,Sydney Secondary College Blackwattle Bay Campus,Glebe,NSW,2037,Secondary,Gov,Open,Major Cities,40441,6496,-33.8751,151.188,000008539
41179,Sydney Secondary College Leichhardt Campus,Leichhardt,NSW,2040,Secondary,Gov,Open,Major Cities,41179,6497,-33.8795,151.159,000008507
41151,Sydney Technical High School,Bexley,NSW,2207,Secondary,Gov,Open,Major Cities,41151,48595,-33.9631,151.114,000008141
41175,Sylvania High School,Sylvania,NSW,2224,Secondary,Gov,Open,Major Cities,41175,48639,-34.0174,151.104,000008463
42518,Tamworth High School,South Tamworth,NSW,2340,Secondary,Gov,Open,Inner Regional,42518,49353,-31.1058,150.917,000008139
42377,Taree High School,Taree,NSW,2430,Secondary,Gov,Open,Inner Regional,42377,46430,-31.9099,152.464,000008140
42697,Temora High School,Temora,NSW,2666,Secondary,Gov,Open,Outer Regional,42697,50524,-34.4419,147.54,000008168
41178,Tempe High School,Tempe,NSW,2044,Secondary,Gov,Open,Major Cities,41178,46424,-33.9198,151.161,000008506
42523,Tenterfield High School,Tenterfield,NSW,2372,Secondary,Gov,Open,Outer Regional,42523,49427,-29.0537,152.017,000008358
42126,Terrigal High School,Terrigal,NSW,2260,Secondary,Gov,Open,Major Cities,42126,48722,-33.4422,151.429,000008533
40742,Thalgarrah Environmental Education Centre,Armidale,NSW,2350,Combined,Gov,Open,Outer Regional,40742,63762,-30.4479,151.825,000005680
41332,The Forest High School,Frenchs Forest,NSW,2086,Secondary,Gov,Open,Major Cities,41332,47683,-33.7503,151.23,000008372
43106,The Henry Lawson High School,Grenfell,NSW,2810,Secondary,Gov,Open,Outer Regional,43106,51027,-33.9027,148.163,000008314
41822,The Hills Sports High School,Seven Hills,NSW,2147,Secondary,Gov,Open,Major Cities,41822,47818,-33.7822,150.939,000008412
41191,The Jannali High School,Jannali,NSW,2226,Secondary,Gov,Open,Major Cities,41191,57488,-34.0157,151.062,000008852
51473,The Ponds High School,The Ponds,NSW,2769,Secondary,Gov,Open,Major Cities,51473,70233,-33.70325657,150.8962863,000008911
42398,"The Rivers Secondary College, Kadina High Campus",Goonellabah,NSW,2480,Secondary,Gov,Open,Inner Regional,42398,9808,-28.8179,153.339,000008520
